sample_name,cohort,total_variants,missing_rate,het_rate,ti_tv_ratio,hom_ref,het,hom_alt,singletons,maf_0-1%,maf_1-5%,maf_5-10%,maf_10-25%,maf_25-50%,af_mean,dp_median,af_gt_concordance,ad_gt_concordance
somatic_synthetic_2,somatic,108589,0.0000,0.0508,1.430,103072,5517,0,5517,103072,0,0,0,5517,0.116,400,0.720,0.629
somatic_synthetic_11,somatic,108589,0.0000,0.0540,1.430,102728,5861,0,5861,102728,0,0,0,5861,0.095,407,0.752,0.610
somatic_synthetic_13,somatic,108589,0.0000,0.0527,1.430,102869,5720,0,5720,102869,0,0,0,5720,0.107,369,0.731,0.620
somatic_synthetic_18,somatic,108589,0.0000,0.0548,1.430,102634,5955,0,5955,102634,0,0,0,5955,0.117,431,0.698,0.611
somatic_synthetic_38,somatic,108589,0.0000,0.0525,1.430,102892,5697,0,5697,102892,0,0,0,5697,0.099,428,0.744,0.595
somatic_synthetic_42,somatic,108589,0.0000,0.0471,1.430,103478,5111,0,5111,103478,0,0,0,5111,0.096,404,0.766,0.623
somatic_synthetic_44,somatic,108589,0.0000,0.0549,1.430,102630,5959,0,5959,102630,0,0,0,5959,0.117,427,0.691,0.609
somatic_synthetic_49,somatic,108589,0.0000,0.0517,1.430,102980,5609,0,5609,102980,0,0,0,5609,0.114,420,0.724,0.603
somatic_synthetic_52,somatic,108589,0.0000,0.0528,1.430,102852,5737,0,5737,102852,0,0,0,5737,0.122,399,0.703,0.631
somatic_synthetic_74,somatic,108589,0.0000,0.0543,1.430,102691,5898,0,5898,102691,0,0,0,5898,0.108,385,0.687,0.591
somatic_synthetic_78,somatic,108589,0.0000,0.0535,1.430,102779,5810,0,5810,102779,0,0,0,5810,0.107,406,0.708,0.593
somatic_synthetic_113,somatic,108589,0.0000,0.0524,1.430,102903,5686,0,5686,102903,0,0,0,5686,0.102,428,0.745,0.619
somatic_synthetic_136,somatic,108589,0.0000,0.0559,1.430,102522,6067,0,6067,102522,0,0,0,6067,0.111,440,0.695,0.588
somatic_synthetic_141,somatic,108589,0.0000,0.0540,1.430,102726,5863,0,5863,102726,0,0,0,5863,0.113,394,0.687,0.583
somatic_synthetic_146,somatic,108589,0.0000,0.0540,1.430,102722,5867,0,5867,102722,0,0,0,5867,0.109,391,0.707,0.609
somatic_synthetic_147,somatic,108589,0.0000,0.0521,1.430,102929,5660,0,5660,102929,0,0,0,5660,0.110,417,0.714,0.613
somatic_synthetic_149,somatic,108589,0.0000,0.0509,1.430,103067,5522,0,5522,103067,0,0,0,5522,0.109,382,0.707,0.599
germline_synthetic_18,germline,1072484,0.0000,0.0957,2.202,920191,102629,49664,102629,969855,0,0,0,102629,,,,
germline_synthetic_19,germline,1072484,0.0000,0.0919,2.202,925235,98525,48724,98525,973959,0,0,0,98525,,,,
germline_synthetic_23,germline,1072484,0.0000,0.0944,2.202,921027,101225,50232,101225,971259,0,0,0,101225,,,,
germline_synthetic_36,germline,1072484,0.0000,0.0930,2.202,922055,99707,50722,99707,972777,0,0,0,99707,,,,
germline_synthetic_38,germline,1072484,0.0000,0.0941,2.202,923281,100925,48278,100925,971559,0,0,0,100925,,,,
germline_synthetic_44,germline,1072484,0.0000,0.0987,2.202,917577,105879,49028,105879,966605,0,0,0,105879,,,,
germline_synthetic_52,germline,1072484,0.0000,0.0921,2.202,925029,98784,48671,98784,973700,0,0,0,98784,,,,
germline_synthetic_63,germline,1072484,0.0000,0.0924,2.202,923819,99131,49534,99131,973353,0,0,0,99131,,,,
germline_synthetic_64,germline,1072484,0.0000,0.0936,2.202,921941,100362,50181,100362,972122,0,0,0,100362,,,,
germline_synthetic_81,germline,1072484,0.0000,0.0914,2.202,925790,98043,48651,98043,974441,0,0,0,98043,,,,
germline_synthetic_87,germline,1072484,0.0000,0.0920,2.202,925042,98661,48781,98661,973823,0,0,0,98661,,,,
germline_synthetic_101,germline,1072484,0.0000,0.0948,2.202,921555,101703,49226,101703,970781,0,0,0,101703,,,,
germline_synthetic_123,germline,1072484,0.0000,0.0920,2.202,923510,98637,50337,98637,973847,0,0,0,98637,,,,
germline_synthetic_124,germline,1072484,0.0000,0.0932,2.202,922451,99966,50067,99966,972518,0,0,0,99966,,,,
